Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
MA;2110278;Santo Amaro do Maranhão;45,53;36,75;24,54;17,68;
MA;2110302;Santo Antônio dos Lopes;54,8;39,07;30,57;23,08;
MA;2110401;São Benedito do Rio Preto;49,24;40,2;31,01;20,96;
MA;2110500;São Bento;40,85;27,56;19,71;15,77;
MA;2110609;São Bernardo;58,56;38,49;29,24;22,46;
MA;2110658;São Domingos do Azeitão;42,72;30,75;29,99;20,64;
MA;2110708;São Domingos do Maranhão;50,72;36,52;27,83;21,09;
MA;2110807;São Félix de Balsas;34,93;32,57;29,59;22,56;
MA;2110856;São Francisco do Brejão;50,7;27,14;26,65;19,02;
MA;2110906;São Francisco do Maranhão;59,44;42,91;36,08;25,16;
MA;2111003;São João Batista;45,46;30,39;22,03;18,26;
MA;2111029;São João do Carú;72,97;53,91;34,87;28,21;
MA;2111052;São João do Paraíso;44,44;22,01;21,15;13,35;
MA;2111078;São João do Soter;69,35;48,35;39,71;27,15;
MA;2111102;São João dos Patos;40,15;27,98;24,13;16,77;
MA;2111201;São José de Ribamar;20,47;12,13;6,7;4,84;
MA;2111250;São José dos Basílios;57,55;38,81;32,47;24,7;
MA;2111300;São Luís;10,92;7,33;4,65;3,98999999999999;
MA;2111409;São Luís Gonzaga do Maranhão;59,11;40,84;35,51;26,7;
MA;2111508;São Mateus do Maranhão;51,38;37;31,39;21,53;
MA;2111532;São Pedro da Água Branca;57,33;37,34;28,44;19,46;
MA;2111573;São Pedro dos Crentes;37,32;22,44;19,1;8,93000000000001;
MA;2111607;São Raimundo das Mangabeiras;36,5;27,35;20,24;13,78;
MA;2111631;São Raimundo do Doca Bezerra;65,5;41,95;38,05;22,37;
MA;2111672;São Roberto;60,58;44,65;34,74;25,31;
MA;2111706;São Vicente Ferrer;53,36;35,16;26,28;21,28;
MA;2111722;Satubinha;62,61;46,38;30,35;25,57;
MA;2111748;Senador Alexandre Costa;61,14;46,18;34,08;24,93;
MA;2111763;Senador La Rocque;56,43;39,53;29,58;20,08;
MA;2111789;Serrano do Maranhão;56;34,06;32,56;20,7;
MA;2111805;Sítio Novo;38,72;27,13;20,95;17,01;
MA;2111904;Sucupira do Norte;42,79;29,4;25,86;19,94;
MA;2111953;Sucupira do Riachão;55,53;36,52;32,99;23,81;
MA;2112001;Tasso Fragoso;39,28;23,76;17,8;13,28;
MA;2112100;Timbiras;67,07;48,03;37,82;28,8;
MA;2112209;Timon;36,35;25,12;17,26;11,68;
MA;2112233;Trizidela do Vale;45,94;31,61;24,81;16,69;
MA;2112274;Tufilândia;63,61;40,88;34,12;23,68;
MA;2112308;Tuntum;51,96;37,19;29,84;21,89;
MA;2112407;Turiaçu;50,86;32,52;24,84;15,72;
MA;2112456;Turilândia;64,45;41,12;30,36;17,55;
MA;2112506;Tutóia;55,64;40,78;28,94;22,34;
MA;2112605;Urbano Santos;54,78;37,71;30;21,47;
MA;2112704;Vargem Grande;60,17;46,27;32,02;22,43;
MA;2112803;Viana;38,25;22,91;17,79;13,79;
MA;2112852;Vila Nova dos Martírios;57,69;36,14;28,17;20,71;
MA;2112902;Vitória do Mearim;46,63;31,24;25,05;18,61;
MA;2113009;Vitorino Freire;51,8;40,19;32,75;23,4;
MA;2114007;Zé Doca;41,67;34,68;24,21;19,23;
PB;2500106;Água Branca;47,53;38,47;26,36;18,68;
PB;2500205;Aguiar;56,65;45,44;37,65;30,5;
PB;2500304;Alagoa Grande;57,68;45,62;34,7;27,45;
PB;2500403;Alagoa Nova;51,2;39,15;28,54;21,79;
PB;2500502;Alagoinha;62,29;43,84;35,29;26,55;
PB;2500536;Alcantil;53,66;33,79;30,6;19,78;
PB;2500577;Algodão de Jandaíra;62,12;48,54;32,68;29,63;
PB;2500601;Alhandra;55,62;38,13;26,27;17,58;
PB;2500700;São João do Rio do Peixe;47,88;34,29;27,83;21,4;
PB;2500734;Amparo;48,94;34,44;21,49;19,94;
PB;2500775;Aparecida;56,5;36,87;29,29;23;
PB;2500809;Araçagi;62,63;44,43;38,6;28,49;
PB;2500908;Arara;61,81;49,57;38,52;27,54;
PB;2501005;Araruna;58,96;48,19;39,54;30;
PB;2501104;Areia;54,59;38,97;29,96;21,77;
PB;2501153;Areia de Baraúnas;62,24;38,2;32,56;23,69;
PB;2501203;Areial;43,14;31,17;26,65;18,38;
PB;2501302;Aroeiras;60,16;44,1;35,56;26,25;
PB;2501351;Assunção;45,82;30,52;26,26;18,99;
PB;2501401;Baía da Traição;56,51;36,66;25,2;17,72;
PB;2501500;Bananeiras;60,95;46,37;35,39;24,96;
PB;2501534;Baraúna;62,88;35,09;28,29;22,99;
PB;2501575;Barra de Santana;51,65;40,05;30,94;24,87;
PB;2501609;Barra de Santa Rosa;58,44;42,27;37,21;27,57;
PB;2501708;Barra de São Miguel;45,01;30,88;23,61;20,48;
PB;2501807;Bayeux;32,96;21,31;15,49;12,78;
PB;2501906;Belém;55,87;44;34,08;24,26;
PB;2502003;Belém do Brejo do Cruz;60,48;46,72;38,15;28,64;
PB;2502052;Bernardino Batista;57,83;42,27;30,83;24,37;
PB;2502102;Boa Ventura;49,94;37,39;29,33;24,22;
PB;2502151;Boa Vista;34,11;21,69;16,01;12,81;
PB;2502201;Bom Jesus;47,9;36,14;25,16;21,19;
PB;2502300;Bom Sucesso;51,24;35,91;30,94;25,17;
PB;2502409;Bonito de Santa Fé;52,56;36,89;29,26;20,57;
PB;2502508;Boqueirão;44,91;33,44;24,08;18,44;
PB;2502607;Igaracy;47,74;36,69;32,19;24,7;
PB;2502706;Borborema;54,01;44,37;32,56;24,36;
PB;2502805;Brejo do Cruz;48,65;38,79;31,58;23,08;
PB;2502904;Brejo dos Santos;49,58;38,27;28,37;20,46;
PB;2503001;Caaporã;51,21;33,24;23,86;18,57;
PB;2503100;Cabaceiras;29,48;19,7;18,04;9,29000000000001;
PB;2503209;Cabedelo;28,7;16,35;10,67;8,52;
PB;2503308;Cachoeira dos Índios;49,17;38,65;27,27;21,8;
PB;2503407;Cacimba de Areia;51,05;38,14;26,83;20,16;
PB;2503506;Cacimba de Dentro;62,96;48,86;38,84;29,95;
PB;2503555;Cacimbas;65,62;51,87;36,11;24,74;
PB;2503605;Caiçara;56,52;41,09;34,16;24,97;
PB;2503704;Cajazeiras;36,93;26,82;19,45;13,72;
PB;2503753;Cajazeirinhas;62,76;44,65;34,81;28,81;
PB;2503803;Caldas Brandão;59,89;45,79;35,88;26,34;
PB;2503902;Camalaú;47,56;40,12;29,73;23,63;
PB;2504009;Campina Grande;24,36;17,09;11,68;8,03;
PB;2504033;Capim;72,43;56,64;39,85;28,47;
PB;2504074;Caraúbas;47,29;30,52;19,09;19,38;
PB;2504108;Carrapateira;44,27;39,03;28,08;21,5;
PB;2504157;Casserengue;74,68;56,95;41,06;32,04;
PB;2504207;Catingueira;60,7;42,15;35,77;25,5;
PB;2504306;Catolé do Rocha;40,95;29,61;23,14;16,65;
PB;2504355;Caturité;43,32;29,36;22,44;16,36;
PB;2504405;Conceição;52,51;41,15;32,72;26,57;
PB;2504504;Condado;44,52;36,72;29,61;22,17;
PB;2504603;Conde;52,81;37,69;23,19;15,91;
PB;2504702;Congo;48,88;35,24;28,54;22,37;
PB;2504801;Coremas;54,61;41,45;33,41;25,76;
PB;2504850;Coxixola;38,86;28,88;21,21;17,04;
PB;2504900;Cruz do Espírito Santo;61,93;43,65;33,05;26,24;
PB;2505006;Cubati;46,31;35,75;27,75;19,42;
PB;2505105;Cuité;54,75;40,46;31,72;22,87;
PB;2505204;Cuitegi;60,33;45,43;34,36;24,3;
PB;2505238;Cuité de Mamanguape;65,75;49,71;41,21;30,6;
PB;2505279;Curral de Cima;67,91;55,27;40,5;31,4;
PB;2505303;Curral Velho;54,15;36,88;34,92;22,82;
PB;2505352;Damião;74,84;52,47;39,66;32,73;
PB;2505402;Desterro;50,21;36,61;25,49;20,03;
PB;2505501;Vista Serrana;41,43;32,85;25,55;20,91;
PB;2505600;Diamante;57,58;37,68;30,3;24,9;
PB;2505709;Dona Inês;64,04;48,51;39,32;28,13;
PB;2505808;Duas Estradas;55,34;43,99;30,58;20,62;
PB;2505907;Emas;53,08;39,94;30,43;26,04;
PB;2506004;Esperança;46,95;33,46;26,04;18,16;
PB;2506103;Fagundes;54,93;41,88;32,24;25,19;
PB;2506202;Frei Martinho;44,6;32,59;29,96;18,17;
PB;2506251;Gado Bravo;59,38;41,91;32,83;25,15;
PB;2506301;Guarabira;40,33;28,81;20,25;14,75;
PB;2506400;Gurinhém;63,4;49,28;37,77;29,08;
PB;2506509;Gurjão;40,22;27,37;21,02;16,52;
PB;2506608;Ibiara;56,94;44,35;37,98;29,94;
PB;2506707;Imaculada;54,73;36,98;30,75;21,28;
PB;2506806;Ingá;57,1;42,97;36,42;25,21;
PB;2506905;Itabaiana;46,54;35,72;27,46;21,6;
PB;2507002;Itaporanga;41,38;29,65;22,84;16,93;
PB;2507101;Itapororoca;63,62;49,65;33,62;27,21;
PB;2507200;Itatuba;58,78;47,58;38,07;27,81;
PB;2507309;Jacaraú;60,39;45,72;32,93;25,03;
PB;2507408;Jericó;49,93;37,15;28,8;21,1;
PB;2507507;João Pessoa;18,36;12,33;8,11;6,13;
PB;2507606;Juarez Távora;58,07;43,23;35,85;28,04;
PB;2507705;Juazeirinho;46,57;33,55;26,01;17,67;
PB;2507804;Junco do Seridó;43,81;31,95;21,71;18,66;
PB;2507903;Juripiranga;60,47;46,58;34,34;27,1;
PB;2508000;Juru;56,82;40,37;33,41;24,71;
PB;2508109;Lagoa;54,22;43,17;33,84;26,56;
PB;2508208;Lagoa de Dentro;58,97;41,72;31,9;25,06;
PB;2508307;Lagoa Seca;43,12;30,79;21,26;15,42;
PB;2508406;Lastro;52,57;38,78;31,09;27,27;
PB;2508505;Livramento;41,47;29,83;23,13;17,97;
PB;2508554;Logradouro;61,3;41,1;34,11;22,76;
PB;2508604;Lucena;57,67;34,5;25,32;17,4;
PB;2508703;Mãe d'Água;54,28;39,11;30,2;23,34;
PB;2508802;Malta;47,82;36,81;27,97;22,58;
PB;2508901;Mamanguape;50,25;38,36;27,9;21,48;
PB;2509008;Manaíra;54,32;44,44;35,01;26,63;
PB;2509057;Marcação;73,43;49,99;33,33;23,34;
PB;2509107;Mari;60,01;46,76;35,54;25,96;
PB;2509156;Marizópolis;48,58;37,4;27,07;19,21;
PB;2509206;Massaranduba;57,03;43,47;30,75;21,88;
PB;2509305;Mataraca;51,26;37,7;27,14;20,18;
PB;2509339;Matinhas;53,44;40,71;31,61;23,46;
PB;2509370;Mato Grosso;65,31;52,51;41,52;32,45;
PB;2509396;Maturéia;58,25;40,31;28,13;20,17;
PB;2509404;Mogeiro;59,08;42,97;32,28;25,42;
PB;2509503;Montadas;45,52;34,78;25,28;16,81;
PB;2509602;Monte Horebe;50,54;38,21;29,46;22,69;
PB;2509701;Monteiro;47,65;35,52;27,38;18,5;
PB;2509800;Mulungu;58,91;44,24;35,24;24,7;
PB;2509909;Natuba;65,03;51,2;38,93;30;
PB;2510006;Nazarezinho;47,83;39,09;31,5;25,75;
PB;2510105;Nova Floresta;47,25;33,38;28,62;19,9;
PB;2510204;Nova Olinda;55,08;37,95;31,75;24,62;
PB;2510303;Nova Palmeira;44,7;27,57;24,66;19,79;
PB;2510402;Olho d'Água;50,95;40,24;33,58;28,72;
PB;2510501;Olivedos;43,09;31,46;19,37;19,27;
PB;2510600;Ouro Velho;43,62;29,55;22,91;23,16;
PB;2510659;Parari;40,58;24,07;20,85;18,02;
PB;2510709;Passagem;47,29;32,46;29,23;20,36;
PB;2510808;Patos;32,55;24,94;18,42;12,82;
PB;2510907;Paulista;52,36;41,88;32,2;23,5;
PB;2511004;Pedra Branca;43,69;31,11;25,55;21,84;
PB;2511103;Pedra Lavrada;51,95;35,6;27,76;20,03;
PB;2511202;Pedras de Fogo;60,15;44,88;30,27;23,26;
PB;2511301;Piancó;50,16;35,87;29,26;19,55;
PB;2511400;Picuí;48,54;34,96;24,66;18,3;
PB;2511509;Pilar;57,24;40,1;31,64;26,31;
PB;2511608;Pilões;62,79;45,87;36,17;28,52;
PB;2511707;Pilõezinhos;60,34;50,27;33,23;26,72;
PB;2511806;Pirpirituba;53,2;37,85;29,9;21,26;
PB;2511905;Pitimbu;51,97;38,45;27,59;18,32;
PB;2512002;Pocinhos;51,16;34,12;25,15;18,51;
PB;2512036;Poço Dantas;68,98;53,49;36,46;29,48;
PB;2512077;Poço de José de Moura;50,51;36,86;27,03;19,04;
PB;2512101;Pombal;43,87;31,81;26,08;18,99;
PB;2512200;Prata;42,95;35,13;23,49;19,85;
PB;2512309;Princesa Isabel;44,85;32,79;25,33;17,87;
PB;2512408;Puxinanã;48,23;28,13;21,59;14,75;
PB;2512507;Queimadas;46,12;31,99;22,56;15,8;
PB;2512606;Quixabá;58,18;34,44;26,24;17,65;
PB;2512705;Remígio;48,77;38,72;30,7;21,16;
PB;2512721;Pedro Régis;66,18;52,5;42,86;25,55;
PB;2512747;Riachão;66,41;44,96;31,48;26,4;
PB;2512754;Riachão do Bacamarte;59,59;43,36;35,81;22,93;
PB;2512762;Riachão do Poço;58,83;44,25;33,63;29,24;
PB;2512788;Riacho de Santo Antônio;56,15;37,39;24,64;21,02;
PB;2512804;Riacho dos Cavalos;55,61;42,86;32,64;21,34;
PB;2512903;Rio Tinto;49,49;33,72;26,56;19,57;
PB;2513000;Salgadinho;59,27;41,49;33,02;24,78;
PB;2513109;Salgado de São Félix;57,24;43,8;36,87;29,64;
PB;2513158;Santa Cecília;65,56;50,29;35,61;25,62;
PB;2513208;Santa Cruz;44,85;30,43;28,18;24,01;
PB;2513307;Santa Helena;45,32;34,84;26,11;21,84;
PB;2513356;Santa Inês;61,93;44,63;32,15;26,98;
PB;2513406;Santa Luzia;35,81;26,22;20,02;14,91;
PB;2513505;Santana de Mangueira;67,34;46,11;36,29;27,14;
PB;2513604;Santana dos Garrotes;53,32;35,83;35,17;29,77;
PB;2513653;Santarém;56,76;37,43;35,85;19,06;
PB;2513703;Santa Rita;40,04;29,63;20,61;14,38;
PB;2513802;Santa Teresinha;55,04;35,84;27,14;22,04;
PB;2513851;Santo André;41,26;29,47;27,15;19,33;
PB;2513901;São Bento;52,89;38,48;33,59;23,15;
PB;2513927;São Bentinho;51,93;34,61;32,8;23,72;
PB;2513943;São Domingos do Cariri;41,66;27,62;23,81;16,27;
PB;2513968;São Domingos de Pombal;62,69;40,95;38,55;33,77;
PB;2513984;São Francisco;49,9;35,62;31,46;26,11;
PB;2514008;São João do Cariri;33,71;24,2;18,73;17,17;
PB;2514107;São João do Tigre;56,49;46,77;35,78;27,71;
PB;2514206;São José da Lagoa Tapada;63,78;49,55;42,35;30,63;
PB;2514305;São José de Caiana;59,2;42,62;32,19;26,12;
PB;2514404;São José de Espinharas;53,51;34,15;32;20,95;
PB;2514453;São José dos Ramos;66,73;53,01;38,36;30,72;
PB;2514503;São José de Piranhas;47,44;35,18;25,03;21,25;
PB;2514552;São José de Princesa;51,15;35,74;31,1;23,22;
PB;2514602;São José do Bonfim;45,05;38,7;26,58;20,49;
PB;2514651;São José do Brejo do Cruz;61,55;39,73;27,92;21,5;
PB;2514701;São José do Sabugi;39,08;30,01;27,22;17,64;
PB;2514800;São José dos Cordeiros;44,34;30,54;22,64;17,85;
PB;2514909;São Mamede;38,46;29,64;24,75;17,59;
PB;2515005;São Miguel de Taipu;65,16;46,38;40,92;25,28;
PB;2515104;São Sebastião de Lagoa de Roça;50,35;35,1;26,02;18,57;
PB;2515203;São Sebastião do Umbuzeiro;51,37;40,19;25,13;21,54;
PB;2515302;Sapé;54,54;39,77;30,8;23,65;
PB;2515401;Seridó;46,39;34,72;22,86;17,66;
PB;2515500;Serra Branca;35,97;26,7;19,85;15,39;
PB;2515609;Serra da Raiz;52,62;40,43;31,81;25,34;
PB;2515708;Serra Grande;53,53;41,33;30,81;18,68;
PB;2515807;Serra Redonda;56,7;40,04;31,9;21,65;
PB;2515906;Serraria;60,23;44,65;41,2;27,99;
PB;2515930;Sertãozinho;49,67;36,22;28,43;17,66;
PB;2515971;Sobrado;62,34;44,81;33,3;24,94;
PB;2516003;Solânea;54,46;43,02;31,21;23,25;
PB;2516102;Soledade;40,55;27,49;20,08;13,71;
PB;2516151;Sossêgo;55,38;44,26;31,34;24,06;
PB;2516201;Sousa;40,37;28,15;22,53;16,67;
PB;2516300;Sumé;41,61;30,08;25,49;17,18;
PB;2516409;Campo de Santana;62,87;46,6;30,76;28,14;
PB;2516508;Taperoá;45,79;34,25;28,22;19,21;
PB;2516607;Tavares;54,48;39,72;30,95;24,06;
PB;2516706;Teixeira;42,72;32,52;23,97;16,98;
PB;2516755;Tenório;52,35;39,01;29,09;21,11;
PB;2516805;Triunfo;48,18;37,84;28,54;19,21;
PB;2516904;Uiraúna;43,33;34,33;26,73;21,4;
PB;2517001;Umbuzeiro;59,12;47,77;35,17;28,81;
PB;2517100;Várzea;24,54;16,03;13,3;10,6;
PB;2517209;Vieirópolis;59,5;42,85;37,93;32,9;
PB;2517407;Zabelê;53,03;36,95;22,99;19,4;
PE;2600054;Abreu e Lima;21,29;14,26;10,15;8,55;
PE;2600104;Afogados da Ingazeira;38,3;29,48;23,12;15,11;
PE;2600203;Afrânio;53,89;35,68;25,78;18,12;
PE;2600302;Agrestina;57,76;42,96;32,35;23,26;
PE;2600401;Água Preta;55,44;39,41;30,66;23,38;
PE;2600500;Águas Belas;65,11;51,56;40,23;29,78;
PE;2600609;Alagoinha;42,43;35,4;26,62;21;
PE;2600708;Aliança;49,13;36,57;27,22;21,72;
PE;2600807;Altinho;58,81;43,87;34,63;25,47;
PE;2600906;Amaraji;57,12;36,91;30,92;21,73;
PE;2601003;Angelim;53,52;39,03;33,4;23,18;
PE;2601052;Araçoiaba;58,51;37,5;24,04;19,14;
PE;2601102;Araripina;46,37;34,56;25,33;18,76;
PE;2601201;Arcoverde;32,13;24,06;17,57;12,33;
PE;2601300;Barra de Guabiraba;57,57;45,94;34,84;25,04;
PE;2601409;Barreiros;39,9;30,76;23,56;18,56;
PE;2601508;Belém de Maria;54,51;41,95;32,49;25,73;
PE;2601607;Belém de São Francisco;44,83;33,02;21,71;17,07;
PE;2601706;Belo Jardim;47,25;35,46;24,82;17,93;
PE;2601805;Betânia;51,98;38,45;32,98;25,82;
PE;2601904;Bezerros;50,48;36,99;28,12;20,39;
PE;2602001;Bodocó;51,28;39,85;29,91;23,02;
PE;2602100;Bom Conselho;55,02;42,49;34,05;25,55;
PE;2602209;Bom Jardim;53,9;38,05;30,14;22,59;
PE;2602308;Bonito;56,68;40,77;31,6;21,21;
PE;2602407;Brejão;55,63;42,63;31,86;24,01;
PE;2602506;Brejinho;49,75;35,55;25,37;19,44;
PE;2602605;Brejo da Madre de Deus;56,75;45,69;32,31;22,8;
PE;2602704;Buenos Aires;49,33;35,2;28,11;22,94;
PE;2602803;Buíque;63,36;52,01;40,18;28,78;
PE;2602902;Cabo de Santo Agostinho;29,13;20,4;13;10,19;
PE;2603009;Cabrobó;45,75;32,5;23,71;16,97;
PE;2603108;Cachoeirinha;52,92;39,82;32,13;19,3;
PE;2603207;Caetés;61,29;50,33;38,63;25,99;
PE;2603306;Calçado;54,71;41,52;32,38;23,95;
PE;2603405;Calumbi;49,91;39,09;32,6;22,48;
PE;2603454;Camaragibe;22,54;15,74;10,79;7,66;
PE;2603504;Camocim de São Félix;54,19;39,81;31,95;22,83;
PE;2603603;Camutanga;45,88;34,54;26,87;20,33;
PE;2603702;Canhotinho;59,89;45,11;36,31;24,59;
PE;2603801;Capoeiras;55,93;43,93;31,88;24,53;
PE;2603900;Carnaíba;51,25;37,72;27,07;20,22;
PE;2603926;Carnaubeira da Penha;55,29;42,8;27,46;18,56;
PE;2604007;Carpina;34,18;22,99;16,09;12,28;
PE;2604106;Caruaru;31,63;22,55;15,58;10,81;
PE;2604155;Casinhas;54;42,82;31,43;24,7;
PE;2604205;Catende;46,42;33,94;26,79;21,3;
PE;2604304;Cedro;42,27;33,65;22,32;16,91;
PE;2604403;Chã de Alegria;49,91;36,52;24,69;18,72;
PE;2604502;Chã Grande;57,12;41,44;30,8;22,95;
PE;2604601;Condado;45,5;32,67;27,23;19,06;
PE;2604700;Correntes;56,54;42,28;32,51;23,71;
PE;2604809;Cortês;53,69;36,09;28,89;24,03;
PE;2604908;Cumaru;56,5;40,72;32,07;24,4;
PE;2605004;Cupira;55,59;42,38;30,69;19,44;
PE;2605103;Custódia;47,24;36,7;27,21;20,89;
PE;2605152;Dormentes;49,12;38,05;26,22;19,68;
PE;2605202;Escada;41,88;30,28;21,7;16,02;
PE;2605301;Exu;52,3;37,93;25,22;20,92;
PE;2605400;Feira Nova;50,96;39,07;29,32;21,75;
PE;2605459;Fernando de Noronha;11,65;6,87;5,01;3,51000000000001;
PE;2605509;Ferreiros;48,88;34,34;28,44;20,15;
PE;2605608;Flores;52,42;38,65;32,94;24,91;
PE;2605707;Floresta;34,72;24,19;18,4;13,3;
PE;2605806;Frei Miguelinho;52,81;42,45;31,52;24,23;
PE;2605905;Gameleira;52,76;37,83;26,69;23,75;
PE;2606002;Garanhuns;33,4;24,28;17,57;12,16;
PE;2606101;Glória do Goitá;53,64;39,22;29,98;22,1;
PE;2606200;Goiana;35,68;25,07;18,56;13,75;
PE;2606309;Granito;46,92;38,79;27,12;20,08;
PE;2606408;Gravatá;44,33;31,88;22,27;16,73;
PE;2606507;Iati;68,32;50,53;39,37;29,74;
PE;2606606;Ibimirim;55,8;42,25;31,97;24,4;
PE;2606705;Ibirajuba;56,88;45,14;35,41;25,56;
PE;2606804;Igarassu;32,89;20,32;14,2;10,11;
PE;2606903;Iguaraci;47,22;34,98;28,45;21,28;
PE;2607000;Inajá;58,38;45,35;35,98;24,13;
PE;2607109;Ingazeira;44,75;33,05;26,87;20,35;
PE;2607208;Ipojuca;47,09;30,04;20,64;12,36;
PE;2607307;Ipubi;63,35;42,14;30,23;21,24;
PE;2607406;Itacuruba;42,03;25,94;21,56;12,68;
PE;2607505;Itaíba;69,41;50,7;39,73;29,66;
PE;2607604;Itamaracá;31;19,52;15,34;10,8;
PE;2607653;Itambé;56,1;39,96;30,5;24,78;
PE;2607703;Itapetim;43,77;30,09;25,63;18,06;
PE;2607752;Itapissuma;38,34;25,94;18,53;11,73;
PE;2607802;Itaquitinga;48,19;34,64;27,72;21,65;
PE;2607901;Jaboatão dos Guararapes;19,1;13,19;9,13;7,20999999999999;
PE;2607950;Jaqueira;58,85;39,94;32,67;22,84;
PE;2608008;Jataúba;57,76;46,17;34,29;25,34;
PE;2608057;Jatobá;35,97;24,09;22,63;17,37;
PE;2608107;João Alfredo;60,09;44,09;35,7;25,72;
PE;2608206;Joaquim Nabuco;51,29;38,06;29,65;21,69;
PE;2608255;Jucati;54,03;43,72;32,67;22,94;
PE;2608305;Jupi;51,34;40,35;32,19;21,71;
PE;2608404;Jurema;62,66;49,52;37,95;27,2;
PE;2608453;Lagoa do Carro;47,23;30,73;23,66;18,81;
PE;2608503;Lagoa do Itaenga;53,16;34,34;26,86;21,48;
PE;2608602;Lagoa do Ouro;59,95;44,89;40,14;27,6;
PE;2608701;Lagoa dos Gatos;67,34;51,78;39,05;29,11;
PE;2608750;Lagoa Grande;48,03;34,05;24,43;18,26;
PE;2608800;Lajedo;46,71;32,84;26,23;18,05;
PE;2608909;Limoeiro;36,18;26,46;20;15,19;
PE;2609006;Macaparana;50,45;38,69;31,59;22,33;
PE;2609105;Machados;53,85;41,37;29,35;21,32;
PE;2609154;Manari;77,8;57,01;39,85;30,17;
PE;2609204;Maraial;64,04;42,77;35,09;27,74;
PE;2609303;Mirandiba;44,3;33,44;23,67;17,07;
PE;2609402;Moreno;33,51;23,15;16,83;13,84;
PE;2609501;Nazaré da Mata;36,64;24,24;19,2;16,46;
PE;2609600;Olinda;14,48;9,93;7,03;6,04000000000001;
PE;2609709;Orobó;51,65;38,64;29,41;22,9;
PE;2609808;Orocó;49,13;34,57;23,97;16,82;
PE;2609907;Ouricuri;52,44;39,12;28,77;21,95;
PE;2610004;Palmares;42,76;27,95;21,46;16,18;
PE;2610103;Palmeirina;53;44,01;33,07;24,9;
PE;2610202;Panelas;66,61;49,64;38;29,37;
PE;2610301;Paranatama;61,31;44,69;37,07;24,01;
PE;2610400;Parnamirim;45,42;29,44;24,8;21,79;
PE;2610509;Passira;53,51;39,62;32,15;23,76;
PE;2610608;Paudalho;42,8;28,66;21,18;16,28;
PE;2610707;Paulista;13,56;8,43;6,13;4,8;
PE;2610806;Pedra;54,69;42,31;32,98;24,42;
PE;2610905;Pesqueira;43,27;32,07;25,33;18,22;
PE;2611002;Petrolândia;32,14;24,3;18,15;13,71;
PE;2611101;Petrolina;25,46;17,7;12,04;8,43000000000001;
PE;2611200;Poção;54,93;45,04;33,96;24,16;
PE;2611309;Pombos;53,65;37,39;28,73;20,58;
PE;2611408;Primavera;51,99;33,67;28,18;18,87;
PE;2611507;Quipapá;62,99;48,05;36,45;27,96;
PE;2611533;Quixaba;52,54;35,96;28,18;21,43;
PE;2611606;Recife;14,96;10,55;7,13;5,48;
PE;2611705;Riacho das Almas;58,24;44,25;34,47;24,26;
PE;2611804;Ribeirão;45,45;33,48;23,29;18,52;
PE;2611903;Rio Formoso;48,67;33,78;22,49;17,58;
PE;2612000;Sairé;54,83;42,34;33,57;23,55;
PE;2612109;Salgadinho;54,79;40,76;43,21;30,36;
PE;2612208;Salgueiro;35,43;23,12;16,25;11,97;
PE;2612307;Saloá;56,95;45,26;35,05;25,79;
PE;2612406;Sanharó;48,49;36,64;25,83;20,77;
PE;2612455;Santa Cruz;62,66;46,15;32,51;20,9;
PE;2612471;Santa Cruz da Baixa Verde;44,19;29,78;26,02;17,53;
PE;2612505;Santa Cruz do Capibaribe;35,55;25,55;16,01;11,76;
PE;2612554;Santa Filomena;59,25;41,28;31,93;24,23;
PE;2612604;Santa Maria da Boa Vista;44,08;30,16;21,2;16,82;
PE;2612703;Santa Maria do Cambucá;56,71;45,89;35,38;24,77;
PE;2612802;Santa Terezinha;45,93;33,63;24,7;19,42;
PE;2612901;São Benedito do Sul;68,87;48,49;33,36;30,83;
PE;2613008;São Bento do Una;53,77;39,55;29,57;21,92;
PE;2613107;São Caitano;59,45;42,64;29,38;22,94;
PE;2613206;São João;56,03;40,25;32,83;22,61;
PE;2613305;São Joaquim do Monte;59,79;47,57;35,12;27,67;
PE;2613404;São José da Coroa Grande;50,12;33,52;23,63;14,9;
PE;2613503;São José do Belmonte;50,3;35,66;28,22;19,77;
PE;2613602;São José do Egito;38,38;28,95;22,1;16,51;
PE;2613701;São Lourenço da Mata;32,12;22,76;15,96;11,77;
PE;2613800;São Vicente Ferrer;52,19;41,77;30,69;23,1;
PE;2613909;Serra Talhada;42,7;29,54;21,03;15,46;
PE;2614006;Serrita;52,01;36,59;26,25;20,63;
PE;2614105;Sertânia;44,72;33,57;27,18;19,59;
PE;2614204;Sirinhaém;50,7;33,36;25,43;18,25;
PE;2614303;Moreilândia;51,33;34,07;25,13;19,18;
PE;2614402;Solidão;48,53;36,11;25,96;20,52;
PE;2614501;Surubim;43,01;32,51;24,87;17,92;
PE;2614600;Tabira;40,34;30,93;23,09;16,63;
PE;2614709;Tacaimbó;64,52;44,12;36,79;26,67;
PE;2614808;Tacaratu;45,51;35,89;25,11;19,14;
PE;2614857;Tamandaré;51,15;37,23;22,95;14,39;
PE;2615003;Taquaritinga do Norte;39,56;27,64;22,95;16,31;
PE;2615102;Terezinha;64;45,79;37,15;27,98;
PE;2615201;Terra Nova;40,29;28,24;20,94;15,49;
