,grupo,ano,Faixa Etária,sexo,Vl Remun Média Nom,Vl Remun Média Nom_total,Proporção da Renda
46,Grupo_1 - PropPretos,2019,3 (29+),Feminino,12758953.85,25697906.89,2.439426987750775
47,Grupo_1 - PropPretos,2019,3 (29+),Masculino,9659969.84,25697906.89,0.6550692714678302
48,Grupo_1 - PropPretos,2020,1 (18-24),Feminino,364868.92,24119416.35,3.8884343991982564
49,Grupo_1 - PropPretos,2020,1 (18-24),Masculino,675540.36,24119416.35,0.4347211927444391
50,Grupo_1 - PropPretos,2020,2 (25-29),Feminino,729188.99,24119416.35,1.247666252364894
51,Grupo_1 - PropPretos,2020,2 (25-29),Masculino,947858.5,24119416.35,0.3098086372489507
52,Grupo_1 - PropPretos,2020,3 (29+),Feminino,12240485.85,24119416.35,2.4934597988498814
53,Grupo_1 - PropPretos,2020,3 (29+),Masculino,9115837.3,24119416.35,0.6586261642577781
54,Grupo_1 - PropPretos,2021,1 (18-24),Feminino,628832.37,29017559.11,5.5703016131362295
55,Grupo_1 - PropPretos,2021,1 (18-24),Masculino,946275.08,29017559.11,0.5061541843141122
56,Grupo_1 - PropPretos,2021,2 (25-29),Feminino,1045010.73,29017559.11,1.4862264698858567
57,Grupo_1 - PropPretos,2021,2 (25-29),Masculino,1274431.25,29017559.11,0.3462360951563817
58,Grupo_1 - PropPretos,2021,3 (29+),Feminino,13042816.87,29017559.11,2.2084167252751015
59,Grupo_1 - PropPretos,2021,3 (29+),Masculino,12009604.87,29017559.11,0.7212354243328732
60,Grupo_2 - IDH,2012,1 (18-24),Feminino,135512.1,7147447.73,1.0
61,Grupo_2 - IDH,2012,1 (18-24),Masculino,237059.57,7147447.73,1.0
62,Grupo_2 - IDH,2012,2 (25-29),Feminino,434716.12,7147447.73,1.0
63,Grupo_2 - IDH,2012,2 (25-29),Masculino,515118.65,7147447.73,1.0
64,Grupo_2 - IDH,2012,3 (29+),Feminino,3012128.71,7147447.73,1.0
65,Grupo_2 - IDH,2012,3 (29+),Masculino,2798099.76,7147447.73,1.0
66,Grupo_2 - IDH,2013,1 (18-24),Feminino,242741.73,12163708.82,1.0525708538236658
67,Grupo_2 - IDH,2013,1 (18-24),Masculino,312607.37,12163708.82,0.7748661570405593
68,Grupo_2 - IDH,2013,2 (25-29),Feminino,779872.08,12163708.82,1.054150454717392
69,Grupo_2 - IDH,2013,2 (25-29),Masculino,728255.38,12163708.82,0.8307328810079722
70,Grupo_2 - IDH,2013,3 (29+),Feminino,5881910.28,12163708.82,1.1474396233298716
71,Grupo_2 - IDH,2013,3 (29+),Masculino,4198442.73,12163708.82,0.8816780156728882
72,Grupo_2 - IDH,2014,1 (18-24),Feminino,187949.46,12432295.1,0.7973751273911954
73,Grupo_2 - IDH,2014,1 (18-24),Masculino,317506.36,12432295.1,0.7700068958946007
74,Grupo_2 - IDH,2014,2 (25-29),Feminino,667718.29,12432295.1,0.8830538847084335
75,Grupo_2 - IDH,2014,2 (25-29),Masculino,650635.89,12432295.1,0.7261568186525666
76,Grupo_2 - IDH,2014,3 (29+),Feminino,6352826.74,12432295.1,1.212531872396709
77,Grupo_2 - IDH,2014,3 (29+),Masculino,4238790.16,12432295.1,0.8709202749698337
78,Grupo_2 - IDH,2015,1 (18-24),Feminino,192743.18,14540875.64,0.699135528082039
79,Grupo_2 - IDH,2015,1 (18-24),Masculino,358952.03,14540875.64,0.744285141880221
80,Grupo_2 - IDH,2015,2 (25-29),Feminino,668325.84,14540875.64,0.7556887134460201
81,Grupo_2 - IDH,2015,2 (25-29),Masculino,744297.55,14540875.64,0.710231194577847
82,Grupo_2 - IDH,2015,3 (29+),Feminino,7492447.82,14540875.64,1.2226738654408162
83,Grupo_2 - IDH,2015,3 (29+),Masculino,5066748.46,14540875.64,0.8900749483645667
84,Grupo_2 - IDH,2016,1 (18-24),Feminino,211617.59,15318000.91,0.7286560675642102
85,Grupo_2 - IDH,2016,1 (18-24),Masculino,388096.06,15318000.91,0.7638896723090959
86,Grupo_2 - IDH,2016,2 (25-29),Feminino,608117.38,15318000.91,0.6527254824129615
87,Grupo_2 - IDH,2016,2 (25-29),Masculino,745851.75,15318000.91,0.6756069929896955
88,Grupo_2 - IDH,2016,3 (29+),Feminino,7963136.81,15318000.91,1.2335579273457342
89,Grupo_2 - IDH,2016,3 (29+),Masculino,5373514.59,15318000.91,0.8960745342427494
90,Grupo_2 - IDH,2017,1 (18-24),Feminino,275869.15,17924119.66,0.8117797521111028
91,Grupo_2 - IDH,2017,1 (18-24),Masculino,443475.04,17924119.66,0.7459759783374124
92,Grupo_2 - IDH,2017,2 (25-29),Feminino,622142.81,17924119.66,0.5706863631820441
93,Grupo_2 - IDH,2017,2 (25-29),Masculino,794330.58,17924119.66,0.6149037785872528
94,Grupo_2 - IDH,2017,3 (29+),Feminino,8579725.29,17924119.66,1.135829150555561
95,Grupo_2 - IDH,2017,3 (29+),Masculino,7188110.07,17924119.66,1.0243884613365937
96,Grupo_2 - IDH,2018,1 (18-24),Feminino,286981.94,19352711.16,0.7821421031022707
97,Grupo_2 - IDH,2018,1 (18-24),Masculino,419791.17,19352711.16,0.6540108904684492
98,Grupo_2 - IDH,2018,2 (25-29),Feminino,676467.71,19352711.16,0.574712309901836
99,Grupo_2 - IDH,2018,2 (25-29),Masculino,792360.64,19352711.16,0.5681000053975376
100,Grupo_2 - IDH,2018,3 (29+),Feminino,10425550.68,19352711.16,1.2783054820565902
101,Grupo_2 - IDH,2018,3 (29+),Masculino,6736946.24,19352711.16,0.8892196695274829
102,Grupo_2 - IDH,2019,1 (18-24),Feminino,248915.81,19731670.76,0.6653674238179208
103,Grupo_2 - IDH,2019,1 (18-24),Masculino,433733.9,19731670.76,0.6627549845364912
104,Grupo_2 - IDH,2019,2 (25-29),Feminino,631082.3,19731670.76,0.5258566647110156
105,Grupo_2 - IDH,2019,2 (25-29),Masculino,710438.26,19731670.76,0.49958132528011917
106,Grupo_2 - IDH,2019,3 (29+),Feminino,10478850.01,19731670.76,1.2601644572447148
107,Grupo_2 - IDH,2019,3 (29+),Masculino,7214632.52,19731670.76,0.933981230293368
108,Grupo_2 - IDH,2020,1 (18-24),Feminino,208912.36,18716819.9,0.5887148438214203
109,Grupo_2 - IDH,2020,1 (18-24),Masculino,294294.19,18716819.9,0.4740707087571448
110,Grupo_2 - IDH,2020,2 (25-29),Feminino,473360.06,18716819.9,0.41581944367267876
111,Grupo_2 - IDH,2020,2 (25-29),Masculino,575556.13,18716819.9,0.4266771017400176
112,Grupo_2 - IDH,2020,3 (29+),Feminino,10311450.44,18716819.9,1.3072695933547214
113,Grupo_2 - IDH,2020,3 (29+),Masculino,6841844.82,18716819.9,0.9337464249987176
114,Grupo_2 - IDH,2021,1 (18-24),Feminino,401295.88,24496967.26,0.864022976741765
115,Grupo_2 - IDH,2021,1 (18-24),Masculino,526928.46,24496967.26,0.6485341203127704
116,Grupo_2 - IDH,2021,2 (25-29),Feminino,904152.3,24496967.26,0.6068404375082942
117,Grupo_2 - IDH,2021,2 (25-29),Masculino,853214.36,24496967.26,0.4832696798797055
118,Grupo_2 - IDH,2021,3 (29+),Feminino,12817952.12,24496967.26,1.2416059514826816
119,Grupo_2 - IDH,2021,3 (29+),Masculino,8959526.37,24496967.26,0.9342444446179083
120,Grupo_3 - Proximidade,2012,1 (18-24),Feminino,2039691.73,49861069.57,1.0
121,Grupo_3 - Proximidade,2012,1 (18-24),Masculino,3385515.11,49861069.57,1.0
122,Grupo_3 - Proximidade,2012,2 (25-29),Feminino,2934963.51,49861069.57,1.0
123,Grupo_3 - Proximidade,2012,2 (25-29),Masculino,4556978.49,49861069.57,1.0
124,Grupo_3 - Proximidade,2012,3 (29+),Feminino,18012388.97,49861069.57,1.0
125,Grupo_3 - Proximidade,2012,3 (29+),Masculino,18645366.94,49861069.57,1.0
126,Grupo_3 - Proximidade,2013,1 (18-24),Feminino,2530261.58,62858586.56,0.984006268762201
127,Grupo_3 - Proximidade,2013,1 (18-24),Masculino,4127183.96,62858586.56,0.9669990549595018
128,Grupo_3 - Proximidade,2013,2 (25-29),Feminino,3649618.05,62858586.56,0.9863741651979376
129,Grupo_3 - Proximidade,2013,2 (25-29),Masculino,5802114.38,62858586.56,1.0099649134313988
130,Grupo_3 - Proximidade,2013,3 (29+),Feminino,22786306.44,62858586.56,1.0034589155664517
131,Grupo_3 - Proximidade,2013,3 (29+),Masculino,23584728.61,62858586.56,1.003360333038606
132,Grupo_3 - Proximidade,2014,1 (18-24),Feminino,2596605.01,69425282.6,0.9142927789537271
133,Grupo_3 - Proximidade,2014,1 (18-24),Masculino,4192339.89,69425282.6,0.8893560484918015
134,Grupo_3 - Proximidade,2014,2 (25-29),Feminino,4059115.52,69425282.6,0.9932821689306127
135,Grupo_3 - Proximidade,2014,2 (25-29),Masculino,6050291.46,69425282.6,0.9535495199122347
136,Grupo_3 - Proximidade,2014,3 (29+),Feminino,26289998.87,69425282.6,1.0482459296553763
137,Grupo_3 - Proximidade,2014,3 (29+),Masculino,25897717.4,69425282.6,0.9975495725432785
138,Grupo_3 - Proximidade,2015,1 (18-24),Feminino,2639146.04,76569379.18,0.8425687594913212
139,Grupo_3 - Proximidade,2015,1 (18-24),Masculino,4334921.81,76569379.18,0.8338020842720875
140,Grupo_3 - Proximidade,2015,2 (25-29),Feminino,4388168.07,76569379.18,0.9736144510518837
141,Grupo_3 - Proximidade,2015,2 (25-29),Masculino,6334697.74,76569379.18,0.9052225897314958
142,Grupo_3 - Proximidade,2015,3 (29+),Feminino,29095906.16,76569379.18,1.051882028010033
143,Grupo_3 - Proximidade,2015,3 (29+),Masculino,29414658.72,76569379.18,1.0273048623223735
144,Grupo_3 - Proximidade,2016,1 (18-24),Feminino,2332359.81,75813682.98,0.7520470459170103
145,Grupo_3 - Proximidade,2016,1 (18-24),Masculino,3987141.4,75813682.98,0.7745525297624665
146,Grupo_3 - Proximidade,2016,2 (25-29),Feminino,3964970.51,75813682.98,0.8884873541561272
147,Grupo_3 - Proximidade,2016,2 (25-29),Masculino,6326967.01,75813682.98,0.9131299483571078
148,Grupo_3 - Proximidade,2016,3 (29+),Feminino,29048499.7,75813682.98,1.0606360528189598
149,Grupo_3 - Proximidade,2016,3 (29+),Masculino,29937325.56,75813682.98,1.0559808950289338
150,Grupo_3 - Proximidade,2017,1 (18-24),Feminino,2307882.87,85079509.36,0.6631104044707619
151,Grupo_3 - Proximidade,2017,1 (18-24),Masculino,3909783.79,85079509.36,0.6768066213155112
152,Grupo_3 - Proximidade,2017,2 (25-29),Feminino,4188162.83,85079509.36,0.8362910820023474
153,Grupo_3 - Proximidade,2017,2 (25-29),Masculino,6416017.37,85079509.36,0.8251352981109292
154,Grupo_3 - Proximidade,2017,3 (29+),Feminino,33659698.49,85079509.36,1.0951548182171704
155,Grupo_3 - Proximidade,2017,3 (29+),Masculino,34346784.42,85079509.36,1.0795723754828
156,Grupo_3 - Proximidade,2018,1 (18-24),Feminino,2300322.23,89450719.58,0.6286398287047933
157,Grupo_3 - Proximidade,2018,1 (18-24),Masculino,3843950.94,89450719.58,0.6328937857803352
158,Grupo_3 - Proximidade,2018,2 (25-29),Feminino,4189933.6,89450719.58,0.7957601488946127
159,Grupo_3 - Proximidade,2018,2 (25-29),Masculino,6286303.97,89450719.58,0.7689465457467396
160,Grupo_3 - Proximidade,2018,3 (29+),Feminino,35835455.67,89450719.58,1.1089688979062158
161,Grupo_3 - Proximidade,2018,3 (29+),Masculino,36809480.48,89450719.58,1.100440346685013
162,Grupo_3 - Proximidade,2019,1 (18-24),Feminino,2150227.84,90628841.8,0.5799827888392001
163,Grupo_3 - Proximidade,2019,1 (18-24),Masculino,3491620.86,90628841.8,0.5674106504810832
164,Grupo_3 - Proximidade,2019,2 (25-29),Feminino,4023741.1,90628841.8,0.754262442955484
165,Grupo_3 - Proximidade,2019,2 (25-29),Masculino,5458796.04,90628841.8,0.6590449698124117
166,Grupo_3 - Proximidade,2019,3 (29+),Feminino,37813642.92,90628841.8,1.1549744111052362
167,Grupo_3 - Proximidade,2019,3 (29+),Masculino,37485515.81,90628841.8,1.106082998675338
168,Grupo_3 - Proximidade,2020,1 (18-24),Feminino,1896142.33,92854799.69,0.4991874191885644
169,Grupo_3 - Proximidade,2020,1 (18-24),Masculino,3561883.67,92854799.69,0.5649528551956785
170,Grupo_3 - Proximidade,2020,2 (25-29),Feminino,3469344.83,92854799.69,0.6347489553027059
171,Grupo_3 - Proximidade,2020,2 (25-29),Masculino,5935793.05,92854799.69,0.6994537537020522
172,Grupo_3 - Proximidade,2020,3 (29+),Feminino,38818872.17,92854799.69,1.1572543700723927
173,Grupo_3 - Proximidade,2020,3 (29+),Masculino,39002537.14,92854799.69,1.1232570608369403
174,Grupo_3 - Proximidade,2021,1 (18-24),Feminino,2807926.3,111952581.36,0.613124468267624
175,Grupo_3 - Proximidade,2021,1 (18-24),Masculino,4508981.82,111952581.36,0.5931727700917951
176,Grupo_3 - Proximidade,2021,2 (25-29),Feminino,4705799.68,111952581.36,0.7140986437796238
177,Grupo_3 - Proximidade,2021,2 (25-29),Masculino,7300454.56,111952581.36,0.7135105549647255
178,Grupo_3 - Proximidade,2021,3 (29+),Feminino,46173071.06,111952581.36,1.1416813928447822
179,Grupo_3 - Proximidade,2021,3 (29+),Masculino,46215887.84,111952581.36,1.1039460360050668
180,Grupo_4 - Santa Luzia do Itanhy,2012,1 (18-24),Feminino,11949.720000000001,1079895.38,1.0
181,Grupo_4 - Santa Luzia do Itanhy,2012,1 (18-24),Masculino,99605.48,1079895.38,1.0
182,Grupo_4 - Santa Luzia do Itanhy,2012,2 (25-29),Feminino,29625.989999999998,1079895.38,1.0
183,Grupo_4 - Santa Luzia do Itanhy,2012,2 (25-29),Masculino,45297.96,1079895.38,1.0
184,Grupo_4 - Santa Luzia do Itanhy,2012,3 (29+),Feminino,604104.97,1079895.38,1.0
185,Grupo_4 - Santa Luzia do Itanhy,2012,3 (29+),Masculino,289311.26,1079895.38,1.0
186,Grupo_4 - Santa Luzia do Itanhy,2013,1 (18-24),Feminino,13946.43,1372774.88,0.9180951258997297
187,Grupo_4 - Santa Luzia do Itanhy,2013,1 (18-24),Masculino,26311.29,1372774.88,0.20779795456284417
188,Grupo_4 - Santa Luzia do Itanhy,2013,2 (25-29),Feminino,51439.1,1372774.88,1.365849503442216
189,Grupo_4 - Santa Luzia do Itanhy,2013,2 (25-29),Masculino,49872.270000000004,1372774.88,0.8660896562383328
190,Grupo_4 - Santa Luzia do Itanhy,2013,3 (29+),Feminino,808354.06,1372774.88,1.0526198967557856
191,Grupo_4 - Santa Luzia do Itanhy,2013,3 (29+),Masculino,419107.25,1372774.88,1.139573119673873
192,Grupo_4 - Santa Luzia do Itanhy,2014,1 (18-24),Feminino,18453.16,1163407.35,1.43338514105797
193,Grupo_4 - Santa Luzia do Itanhy,2014,1 (18-24),Masculino,30222.04,1163407.35,0.28163746288935193
194,Grupo_4 - Santa Luzia do Itanhy,2014,2 (25-29),Feminino,35525.72,1163407.35,1.113063385143242
195,Grupo_4 - Santa Luzia do Itanhy,2014,2 (25-29),Masculino,33226.81,1163407.35,0.6808632352565512
196,Grupo_4 - Santa Luzia do Itanhy,2014,3 (29+),Feminino,669678.55,1163407.35,1.028972717422925
197,Grupo_4 - Santa Luzia do Itanhy,2014,3 (29+),Masculino,375001.12,1163407.35,1.2031426106167595
198,Grupo_4 - Santa Luzia do Itanhy,2015,1 (18-24),Feminino,32437.81,1615947.24,1.8140460288555218
199,Grupo_4 - Santa Luzia do Itanhy,2015,1 (18-24),Masculino,26467.6,1615947.24,0.17757664069584786
200,Grupo_4 - Santa Luzia do Itanhy,2015,2 (25-29),Feminino,61947.270000000004,1615947.24,1.3973455172400602
201,Grupo_4 - Santa Luzia do Itanhy,2015,2 (25-29),Masculino,44944.61,1615947.24,0.6630609909631012
202,Grupo_4 - Santa Luzia do Itanhy,2015,3 (29+),Feminino,903719.42,1615947.24,0.9997138578526984
203,Grupo_4 - Santa Luzia do Itanhy,2015,3 (29+),Masculino,545469.43,1615947.24,1.2599682038885267
204,Grupo_4 - Santa Luzia do Itanhy,2016,1 (18-24),Feminino,42504.69,1583998.04,2.424968866373662
205,Grupo_4 - Santa Luzia do Itanhy,2016,1 (18-24),Masculino,33433.5,1583998.04,0.2288366882085756
206,Grupo_4 - Santa Luzia do Itanhy,2016,2 (25-29),Feminino,81530.8,1583998.04,1.8761859317297442
207,Grupo_4 - Santa Luzia do Itanhy,2016,2 (25-29),Masculino,40596.68,1583998.04,0.6109967747649665
208,Grupo_4 - Santa Luzia do Itanhy,2016,3 (29+),Feminino,934564.52,1583998.04,1.0546878038474026
209,Grupo_4 - Santa Luzia do Itanhy,2016,3 (29+),Masculino,451367.85,1583998.04,1.063634286649929
210,Grupo_4 - Santa Luzia do Itanhy,2017,1 (18-24),Feminino,28031.7,1751597.16,1.4462359677984866
211,Grupo_4 - Santa Luzia do Itanhy,2017,1 (18-24),Masculino,28748.120000000003,1751597.16,0.17794003315263973
212,Grupo_4 - Santa Luzia do Itanhy,2017,2 (25-29),Feminino,48874.75,1751597.16,1.017089399268997
213,Grupo_4 - Santa Luzia do Itanhy,2017,2 (25-29),Masculino,67035.52,1751597.16,0.91237586722896
214,Grupo_4 - Santa Luzia do Itanhy,2017,3 (29+),Feminino,978096.35,1751597.16,0.9981979654610936
215,Grupo_4 - Santa Luzia do Itanhy,2017,3 (29+),Masculino,594894.38,1751597.16,1.2677160250537363
216,Grupo_4 - Santa Luzia do Itanhy,2018,1 (18-24),Feminino,22756.96,1768330.66,1.1629866330846559
217,Grupo_4 - Santa Luzia do Itanhy,2018,1 (18-24),Masculino,24897.64,1768330.66,0.15264871636612223
218,Grupo_4 - Santa Luzia do Itanhy,2018,2 (25-29),Feminino,28993.87,1768330.66,0.5976563272525806
219,Grupo_4 - Santa Luzia do Itanhy,2018,2 (25-29),Masculino,51655.2,1768330.66,0.6963917374857426
220,Grupo_4 - Santa Luzia do Itanhy,2018,3 (29+),Feminino,1019374.66,1768330.66,1.0304801514439028
221,Grupo_4 - Santa Luzia do Itanhy,2018,3 (29+),Masculino,620652.33,1768330.66,1.3100903860038786
222,Grupo_4 - Santa Luzia do Itanhy,2019,1 (18-24),Feminino,20701.64,1666948.79,1.122293500373453
223,Grupo_4 - Santa Luzia do Itanhy,2019,1 (18-24),Masculino,10854.62,1666948.79,0.0705977429376025
224,Grupo_4 - Santa Luzia do Itanhy,2019,2 (25-29),Feminino,27933.07,1666948.79,0.6108087120367943
225,Grupo_4 - Santa Luzia do Itanhy,2019,2 (25-29),Masculino,48350.27,1666948.79,0.6914800977496366
226,Grupo_4 - Santa Luzia do Itanhy,2019,3 (29+),Feminino,963933.13,1666948.79,1.0336985887932035
227,Grupo_4 - Santa Luzia do Itanhy,2019,3 (29+),Masculino,593051.9,1666948.79,1.3279654924564488
228,Grupo_4 - Santa Luzia do Itanhy,2020,1 (18-24),Feminino,9803.46,1488476.2,0.5951979685208324
229,Grupo_4 - Santa Luzia do Itanhy,2020,1 (18-24),Masculino,11403.75,1488476.2,0.08306235563812134
230,Grupo_4 - Santa Luzia do Itanhy,2020,2 (25-29),Feminino,18818.81,1488476.2,0.46084945041593917
231,Grupo_4 - Santa Luzia do Itanhy,2020,2 (25-29),Masculino,30375.48,1488476.2,0.4865016234421472
232,Grupo_4 - Santa Luzia do Itanhy,2020,3 (29+),Feminino,944212.24,1488476.2,1.1339580947464578
233,Grupo_4 - Santa Luzia do Itanhy,2020,3 (29+),Masculino,473862.46,1488476.2,1.188301803504398
234,Grupo_4 - Santa Luzia do Itanhy,2021,1 (18-24),Feminino,17295.36,1940174.55,0.8055875702462202
235,Grupo_4 - Santa Luzia do Itanhy,2021,1 (18-24),Masculino,20562.2,1940174.55,0.11490190420091503
236,Grupo_4 - Santa Luzia do Itanhy,2021,2 (25-29),Feminino,18967.68,1940174.55,0.35635447911129964
237,Grupo_4 - Santa Luzia do Itanhy,2021,2 (25-29),Masculino,62085.48,1940174.55,0.7628730605827346
238,Grupo_4 - Santa Luzia do Itanhy,2021,3 (29+),Feminino,1147222.3,1940174.55,1.0570025896477497
239,Grupo_4 - Santa Luzia do Itanhy,2021,3 (29+),Masculino,674041.53,1940174.55,1.2967677423000892
240,Grupo_5 - Isolados,2012,1 (18-24),Feminino,38663.33,2907258.12,1.0
241,Grupo_5 - Isolados,2012,1 (18-24),Masculino,66317.95,2907258.12,1.0
242,Grupo_5 - Isolados,2012,2 (25-29),Feminino,84609.34,2907258.12,1.0
243,Grupo_5 - Isolados,2012,2 (25-29),Masculino,161169.57,2907258.12,1.0
244,Grupo_5 - Isolados,2012,3 (29+),Feminino,1373583.31,2907258.12,1.0
245,Grupo_5 - Isolados,2012,3 (29+),Masculino,1181482.73,2907258.12,1.0
246,Grupo_5 - Isolados,2013,1 (18-24),Feminino,108228.69,5430195.03,1.498688275532022
247,Grupo_5 - Isolados,2013,1 (18-24),Masculino,120221.9,5430195.03,0.9705561337721559
248,Grupo_5 - Isolados,2013,2 (25-29),Feminino,268115.58,5430195.03,1.696570488194118
249,Grupo_5 - Isolados,2013,2 (25-29),Masculino,286395.31,5430195.03,0.9513734310741089
250,Grupo_5 - Isolados,2013,3 (29+),Feminino,2629533.5,5430195.03,1.024924482056172
251,Grupo_5 - Isolados,2013,3 (29+),Masculino,2009959.6,5430195.03,0.9108106804768391
252,Grupo_5 - Isolados,2014,1 (18-24),Feminino,87626.93,5630731.41,1.1701919892257118
253,Grupo_5 - Isolados,2014,1 (18-24),Masculino,110419.1,5630731.41,0.859670235842835
254,Grupo_5 - Isolados,2014,2 (25-29),Feminino,254513.24,5630731.41,1.5531408870361247
255,Grupo_5 - Isolados,2014,2 (25-29),Masculino,283394.36,5630731.41,0.9078768374487712
256,Grupo_5 - Isolados,2014,3 (29+),Feminino,2851730.35,5630731.41,1.0719443338771784
257,Grupo_5 - Isolados,2014,3 (29+),Masculino,2034729.36,5630731.41,0.8891971343907261
258,Grupo_5 - Isolados,2015,1 (18-24),Feminino,93681.27,5950088.2,1.1838964058831591
259,Grupo_5 - Isolados,2015,1 (18-24),Masculino,126787.03,5950088.2,0.9341226964981425
260,Grupo_5 - Isolados,2015,2 (25-29),Feminino,249468.97,5950088.2,1.4406497736826673
261,Grupo_5 - Isolados,2015,2 (25-29),Masculino,277858.12,5950088.2,0.8423648461597611
262,Grupo_5 - Isolados,2015,3 (29+),Feminino,2982451.0,5950088.2,1.0609098966042763
263,Grupo_5 - Isolados,2015,3 (29+),Masculino,2212064.75,5950088.2,0.91480945809185
264,Grupo_5 - Isolados,2016,1 (18-24),Feminino,88344.01,6298806.3,1.0546374549566049
265,Grupo_5 - Isolados,2016,1 (18-24),Masculino,129398.67,6298806.3,0.9005836508888136
266,Grupo_5 - Isolados,2016,2 (25-29),Feminino,225953.31,6298806.3,1.2326101492745243
267,Grupo_5 - Isolados,2016,2 (25-29),Masculino,241496.23,6298806.3,0.6915962776718032
268,Grupo_5 - Isolados,2016,3 (29+),Feminino,3318760.16,6298806.3,1.115183157651147
